,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
0,462809,Male,No,22,No,Healthcare,1.0,Low,4.0
1,462643,Female,Yes,38,Yes,Engineer,,Average,3.0
2,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0
3,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0
4,462669,Female,Yes,40,Yes,Entertainment,,High,6.0
5,461319,Male,Yes,56,No,Artist,0.0,Average,2.0
6,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0
7,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0
8,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0
9,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0
10,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0
11,464942,Male,No,19,No,Healthcare,4.0,Low,4.0
12,461230,Female,No,19,No,Executive,0.0,Low,
13,459573,Male,Yes,70,No,Lawyer,,Low,1.0
14,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0
16,466865,Female,No,32,No,Homemaker,9.0,Low,5.0
17,461644,Male,No,31,No,Healthcare,1.0,Low,6.0
18,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0
19,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0
20,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0
21,459675,Female,No,18,No,Healthcare,3.0,Low,4.0
22,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0
23,459168,Female,No,36,Yes,Artist,5.0,Low,2.0
24,461021,Female,,58,No,Executive,1.0,Average,3.0
25,465083,Male,Yes,56,No,Artist,1.0,Average,3.0
26,467604,Male,No,31,No,Healthcare,9.0,Low,8.0
27,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0
28,465882,Male,No,35,Yes,Artist,0.0,Low,1.0
29,461996,Female,No,35,No,Artist,5.0,Low,4.0
30,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0
31,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0
33,467010,Male,No,26,No,Homemaker,9.0,Low,
34,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0
36,465572,Male,No,32,No,Doctor,5.0,Low,1.0
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0
38,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0
39,467442,Male,Yes,56,Yes,Artist,,Average,2.0
40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0
41,465686,Female,No,22,No,Healthcare,0.0,Low,2.0
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0
45,463156,Female,Yes,79,No,Lawyer,,High,2.0
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0
57,462267,Male,No,32,,Doctor,8.0,Low,2.0
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0
67,464580,Male,No,27,No,Artist,8.0,Low,4.0
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0
71,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0
73,460191,Female,No,33,No,Healthcare,8.0,Low,4.0
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0
76,463250,Female,No,36,Yes,Doctor,0.0,Low,2.0
77,463952,Male,Yes,51,No,Artist,4.0,Low,3.0
78,461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0
79,466567,Female,No,49,Yes,,1.0,Low,1.0
80,465379,Male,No,30,No,Healthcare,0.0,Low,4.0
81,463814,Female,No,26,No,Healthcare,6.0,Low,3.0
82,466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0
84,462204,Female,No,19,No,Marketing,1.0,Low,3.0
85,461671,Male,No,32,No,Healthcare,7.0,Low,5.0
86,459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0
88,464734,Female,No,42,No,Entertainment,7.0,Low,3.0
89,464125,Male,Yes,40,No,Doctor,0.0,Average,2.0
